Selected_N,Selected_Feature_List,Candidate_Item_N,Candidate_2Item_N,Candidate_3Item_N,Frequent_Itemset_N,Train_Rule_Candidate_N,Final_Train_Rule_N,Rule_Axis_Coverage_N,Dominant_Axis,Axis_Herfindahl_Index,Rule_Mining_Status,Sensitivity_Role
15,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0||VEH_碰撞速度_VK||体重估计_GEWPG||路灯_STRABEL_0-无路灯||事故现场道路环境_STFUHO_4-环形交叉||公路分类_STRKL_1-公路以外的其他道路||路面附着系数_MUE||VEH_车高_HOEHE||主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物||VEH_车上第一碰撞点Y向坐标_BRPY||行驶车辆所在车道_FSTREIF_3-单向车道_单车道||风速_WINDS||VEH_车上第一碰撞点Z向坐标_BRPZ||性别_GESCHL_3-男性,15,105,455,,116,12,7,vulnerability_demographic_speed,0.1527777777777778,ok,does_not_modify_primary_rule_files
20,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0||VEH_碰撞速度_VK||体重估计_GEWPG||路灯_STRABEL_0-无路灯||事故现场道路环境_STFUHO_4-环形交叉||公路分类_STRKL_1-公路以外的其他道路||路面附着系数_MUE||VEH_车高_HOEHE||主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物||VEH_车上第一碰撞点Y向坐标_BRPY||行驶车辆所在车道_FSTREIF_3-单向车道_单车道||风速_WINDS||VEH_车上第一碰撞点Z向坐标_BRPZ||性别_GESCHL_3-男性||VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏||VEH_车辆用途_VEHUSAGE_16-私用||身高估计_GROESPG||VEH_碰撞前的制动距离_WEGV||事故参与人数_ANZPERS_3-3,20,190,1140,,177,14,8,vulnerability_demographic_speed,0.13265306122448978,ok,does_not_modify_primary_rule_files
25,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0||VEH_碰撞速度_VK||体重估计_GEWPG||路灯_STRABEL_0-无路灯||事故现场道路环境_STFUHO_4-环形交叉||公路分类_STRKL_1-公路以外的其他道路||路面附着系数_MUE||VEH_车高_HOEHE||主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物||VEH_车上第一碰撞点Y向坐标_BRPY||行驶车辆所在车道_FSTREIF_3-单向车道_单车道||风速_WINDS||VEH_车上第一碰撞点Z向坐标_BRPZ||性别_GESCHL_3-男性||VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏||VEH_车辆用途_VEHUSAGE_16-私用||身高估计_GROESPG||VEH_碰撞前的制动距离_WEGV||事故参与人数_ANZPERS_3-3||VEH_车长_LAENGE||道路类型_STRART_15-公路_四级公路||VEH_车宽_BREITE||VEH_碰撞时的总重_GEWGES||不同行驶方向车道的隔离方法_MARK_11-防撞栏,25,300,2300,,431,15,9,vulnerability_demographic_speed,0.12,ok,does_not_modify_primary_rule_files
30,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0||VEH_碰撞速度_VK||体重估计_GEWPG||路灯_STRABEL_0-无路灯||事故现场道路环境_STFUHO_4-环形交叉||公路分类_STRKL_1-公路以外的其他道路||路面附着系数_MUE||VEH_车高_HOEHE||主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物||VEH_车上第一碰撞点Y向坐标_BRPY||行驶车辆所在车道_FSTREIF_3-单向车道_单车道||风速_WINDS||VEH_车上第一碰撞点Z向坐标_BRPZ||性别_GESCHL_3-男性||VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏||VEH_车辆用途_VEHUSAGE_16-私用||身高估计_GROESPG||VEH_碰撞前的制动距离_WEGV||事故参与人数_ANZPERS_3-3||VEH_车长_LAENGE||道路类型_STRART_15-公路_四级公路||VEH_车宽_BREITE||VEH_碰撞时的总重_GEWGES||不同行驶方向车道的隔离方法_MARK_11-防撞栏||VEH_车道变更警告_SPURWAW1_2-无||事故路段车流量_VSTUFE_3-较多车辆||FEATURE_Is_Night||路面情况_STROB_3-干||事故类型_UTYP_803-交叉口_-闯红灯直行与右方直行来车,30,435,4060,,888,15,10,vulnerability_demographic_speed,0.1111111111111111,ok,does_not_modify_primary_rule_files
35,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0||VEH_碰撞速度_VK||体重估计_GEWPG||路灯_STRABEL_0-无路灯||事故现场道路环境_STFUHO_4-环形交叉||公路分类_STRKL_1-公路以外的其他道路||路面附着系数_MUE||VEH_车高_HOEHE||主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物||VEH_车上第一碰撞点Y向坐标_BRPY||行驶车辆所在车道_FSTREIF_3-单向车道_单车道||风速_WINDS||VEH_车上第一碰撞点Z向坐标_BRPZ||性别_GESCHL_3-男性||VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏||VEH_车辆用途_VEHUSAGE_16-私用||身高估计_GROESPG||VEH_碰撞前的制动距离_WEGV||事故参与人数_ANZPERS_3-3||VEH_车长_LAENGE||道路类型_STRART_15-公路_四级公路||VEH_车宽_BREITE||VEH_碰撞时的总重_GEWGES||不同行驶方向车道的隔离方法_MARK_11-防撞栏||VEH_车道变更警告_SPURWAW1_2-无||事故路段车流量_VSTUFE_3-较多车辆||FEATURE_Is_Night||路面情况_STROB_3-干||事故类型_UTYP_803-交叉口_-闯红灯直行与右方直行来车||FEATURE_Opp_Powertrain_燃油||ARU事故原因1_URSWIS1_14-没有保持安全距离||年龄月数记录_ALTER2_24-24||VEH_电池托盘材质_TRAYMAT_1-工程塑料||VEH_发动机功率_LSTG,35,595,6545,,1364,15,10,road_speed_environment,0.12000000000000002,ok,does_not_modify_primary_rule_files
