item,source_feature,Display_Item_Label_CN,Display_Item_Label_EN,transform_type,operator,threshold,family,Missing_Category_Type,Semantic_Group,Source_Group,Physical_Mechanism_Eligible,train_item_hit_n,train_item_hit_rate,test_item_hit_n,test_item_hit_rate,train_source_min,train_source_max,test_source_min,test_source_max,train_sentinel_n,test_sentinel_n,train_sentinel_rate,test_sentinel_rate,train_item_hit_sentinel_n,test_item_hit_sentinel_n,train_item_hit_sentinel_rate,test_item_hit_sentinel_rate,known_value_train_hit_n,known_value_test_hit_n,Sentinel_Hit_Rate_GE_20,Sentinel_Hit_Rate_GE_50,unknown_dominated_flag,Used_In_Final_Rules,Used_In_Core_Confirmed_Rules,Usage_Fields_Role,status,Used_In_Physical_Core_Or_Binary_Rules
风速_WINDS___GT_0_0,风速_WINDS,风速_WINDS___GT_0_0,风速_WINDS___GT_0_0,threshold,>,0.0,weather,not_missing_category,weather_wind,风速_WINDS,1,112,0.0435797665369649,38,0.0590979782270606,0.0,99999.0,0.0,99999.0,2308,570,0.8980544747081712,0.8864696734059098,0,0,0.0,0.0,112,38,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,VEH_车上第一碰撞点Z向坐标_BRPZ,VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,threshold,>,50.0,crash_type,not_missing_category,crash_contact_geometry,BRPZ,1,1080,0.4202334630350194,276,0.4292379471228615,0.0,99999.0,0.0,99999.0,390,106,0.1517509727626459,0.1648522550544323,0,0,0.0,0.0,1080,276,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
性别_GESCHL_3-男性,性别_GESCHL_3-男性,男性,Male,exact_binary_column,==,1.0,bio,not_missing_category,sex,GESCHL,1,1834,0.7136186770428016,447,0.6951788491446346,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,1834,447,0,0,0,1,1,audit_only_not_rule_selection_input,ok,1
VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,exact_binary_column,==,1.0,other,not_missing_category,other_unique:VEH_第一轴右侧轮胎胎面状态_TIREDA1R,VEH_第一轴右侧轮胎胎面状态_TIREDA1R,1,246,0.0957198443579766,71,0.1104199066874028,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,246,71,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
VEH_车辆用途_VEHUSAGE_16-私用,VEH_车辆用途_VEHUSAGE_16-私用,VEH_车辆用途_VEHUSAGE_16-私用,VEH_车辆用途_VEHUSAGE_16-私用,exact_binary_column,==,1.0,vehicle_state,not_missing_category,other_unique:VEHUSAGE,VEHUSAGE,1,370,0.1439688715953307,104,0.1617418351477449,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,370,104,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
身高估计_GROESPG___GT_170_0,身高估计_GROESPG,身高估计_GROESPG___GT_170_0,身高估计_GROESPG___GT_170_0,threshold,>,170.0,bio,not_missing_category,height_body_size,GROESPG,1,272,0.1058365758754863,64,0.0995334370139968,150.0,190.0,150.0,190.0,902,240,0.3509727626459143,0.3732503888024883,0,0,0.0,0.0,272,64,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
VEH_碰撞前的制动距离_WEGV___GT_0_5,VEH_碰撞前的制动距离_WEGV,VEH_碰撞前的制动距离_WEGV___GT_0_5,VEH_碰撞前的制动距离_WEGV___GT_0_5,threshold,>,0.5,crash_type,not_missing_category,other_unique:VEH_碰撞前的制动距离,VEH_碰撞前的制动距离,1,1256,0.488715953307393,301,0.4681181959564541,0.0,99999.0,0.0,99999.0,39,14,0.0151750972762645,0.0217729393468118,0,0,0.0,0.0,1256,301,0,0,0,1,0,audit_only_not_rule_selection_input,ok,0
事故参与人数_ANZPERS_3-3,事故参与人数_ANZPERS_3-3,事故参与人数_ANZPERS_3-3,事故参与人数_ANZPERS_3-3,exact_binary_column,==,1.0,other,not_missing_category,other_unique:事故参与人数_ANZPERS,事故参与人数_ANZPERS,1,630,0.245136186770428,169,0.2628304821150855,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,630,169,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
VEH_车长_LAENGE___GT_4598_5,VEH_车长_LAENGE,车辆长度 > 4598.5 mm,Vehicle length > 4598.5 mm,threshold,>,4598.5,vehicle_size,not_missing_category,vehicle_geometry_length,LAENGE,1,1089,0.4237354085603113,285,0.4432348367029549,418.0,25000.0,452.0,6995.0,392,106,0.1525291828793774,0.1648522550544323,0,0,0.0,0.0,1089,285,0,0,0,1,0,audit_only_not_rule_selection_input,ok,0
道路类型_STRART_15-公路_四级公路,道路类型_STRART_15-公路_四级公路,道路类型_STRART_15-公路_四级公路,道路类型_STRART_15-公路_四级公路,exact_binary_column,==,1.0,road_type,not_missing_category,other_unique:STRART,STRART,1,113,0.0439688715953307,34,0.0528771384136858,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,113,34,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
VEH_车宽_BREITE___GT_1800_0,VEH_车宽_BREITE,车辆宽度 > 1800 mm,Vehicle width > 1800 mm,threshold,>,1800.0,vehicle_size,not_missing_category,vehicle_geometry_width,BREITE,1,1062,0.4132295719844358,259,0.4027993779160186,1200.0,3500.0,500.0,2490.0,392,106,0.1525291828793774,0.1648522550544323,0,0,0.0,0.0,1062,259,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
VEH_碰撞时的总重_GEWGES___GT_1497_5,VEH_碰撞时的总重_GEWGES,车辆总重 > 1497.5,Vehicle total weight > 1497.5,threshold,>,1497.5,vehicle_mass,not_missing_category,vehicle_mass,GEWGES,1,1185,0.4610894941634241,292,0.4541213063763608,715.0,99999.0,745.0,99999.0,200,54,0.0778210116731517,0.0839813374805598,0,0,0.0,0.0,1185,292,0,0,0,1,0,audit_only_not_rule_selection_input,ok,0
不同行驶方向车道的隔离方法_MARK_11-防撞栏,不同行驶方向车道的隔离方法_MARK_11-防撞栏,不同行驶方向车道的隔离方法_MARK_11-防撞栏,不同行驶方向车道的隔离方法_MARK_11-防撞栏,exact_binary_column,==,1.0,lane,not_missing_category,other_unique:MARK,MARK,1,80,0.0311284046692607,26,0.0404354587869362,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,80,26,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
