Dataset,Feature_Space,Model,N,Prevalence,AUROC,AUPRC,AUPRC_Gain_Over_Prevalence,Recall,Precision,Balanced_Accuracy,F1_5,Protocol
Fixed_Test,Selected25,Logistic_Selected25,643,0.656298600311042,0.6767011215714868,0.7996760761116188,0.1433774758005768,0.6374407582938388,0.7642045454545454,0.6309375737170552,0.6717249327698809,"train fit, fixed independent test evaluation"
Fixed_Test,Selected25,RandomForest_Selected25,643,0.656298600311042,0.6861797945572687,0.7993175279852595,0.14301892767421742,0.8530805687203792,0.7142857142857143,0.6007484291565697,0.804953560371517,"train fit, fixed independent test evaluation"
Fixed_Test,Selected25,XGBoost_Selected25,643,0.656298600311042,0.6853112736162639,0.806822254537856,0.15052365422681402,0.6824644549763034,0.75,0.6240376573524051,0.7019122609673791,"train fit, fixed independent test evaluation"
