Selected_N,Is_Primary_Analysis,Selection_Order,Feature,Family,ConsensusScore,SelectionReason
30,0,1,FEATURE_Age_Over60,age,0.6143670677940836,mandatory_semantic_age_over60_feature
30,0,2,VEH_意识到危险前的初始速度_V0,speed_v0,0.7750736266179915,mandatory_family_min:speed_v0
30,0,3,VEH_碰撞速度_VK,speed_vk,0.8218226854894755,mandatory_family_min:speed_vk
30,0,4,体重估计_GEWPG,bio,0.6418710055214312,mandatory_family_min:bio
30,0,5,路灯_STRABEL_0-无路灯,light,0.487379206212252,mandatory_family_min:light
30,0,6,事故现场道路环境_STFUHO_4-环形交叉,road_env,0.6076669085985957,mandatory_family_min:road_env
30,0,7,公路分类_STRKL_1-公路以外的其他道路,road_type,0.5961653590941116,mandatory_family_min:road_type
30,0,8,路面附着系数_MUE,road_surface,0.4459223468507334,mandatory_family_min:road_surface
30,0,9,VEH_车高_HOEHE,vehicle_size,0.5391521426517112,mandatory_family_min:vehicle_size
30,0,10,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,safety,0.4765633244990816,mandatory_family_min:safety
30,0,11,VEH_车上第一碰撞点Y向坐标_BRPY,crash_type,0.6609911951369254,mandatory_family_min:crash_type
30,0,12,行驶车辆所在车道_FSTREIF_3-单向车道_单车道,lane,0.5623169852934953,mandatory_family_min:lane
30,0,13,风速_WINDS,weather,0.4146633592177164,mandatory_family_min:weather
30,0,14,VEH_车上第一碰撞点Z向坐标_BRPZ,crash_type,0.6546365535064175,consensus_fill_under_family_cap
30,0,15,性别_GESCHL_3-男性,bio,0.6212941518816664,consensus_fill_under_family_cap
30,0,16,VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,other,0.6131025309174577,consensus_fill_under_family_cap
30,0,17,VEH_车辆用途_VEHUSAGE_16-私用,vehicle_state,0.6129246925806578,consensus_fill_under_family_cap
30,0,18,身高估计_GROESPG,bio,0.5796450333700074,consensus_fill_under_family_cap
30,0,19,VEH_碰撞前的制动距离_WEGV,crash_type,0.5775599896600097,consensus_fill_under_family_cap
30,0,20,事故参与人数_ANZPERS_3-3,other,0.5717598732089225,consensus_fill_under_family_cap
30,0,21,VEH_车长_LAENGE,vehicle_size,0.5186367558239862,consensus_fill_under_family_cap
30,0,22,道路类型_STRART_15-公路_四级公路,road_type,0.5170169686511361,consensus_fill_under_family_cap
30,0,23,VEH_车宽_BREITE,vehicle_size,0.5150129421915445,consensus_fill_under_family_cap
30,0,24,VEH_碰撞时的总重_GEWGES,vehicle_mass,0.5142512490530984,consensus_fill_under_family_cap
30,0,25,不同行驶方向车道的隔离方法_MARK_11-防撞栏,lane,0.5088851519506987,consensus_fill_under_family_cap
30,0,26,VEH_车道变更警告_SPURWAW1_2-无,lane,0.4899203584062133,consensus_fill_under_family_cap
30,0,27,事故路段车流量_VSTUFE_3-较多车辆,road_env,0.4604111302847283,consensus_fill_under_family_cap
30,0,28,FEATURE_Is_Night,light,0.4574580097785447,consensus_fill_under_family_cap
30,0,29,路面情况_STROB_3-干,road_surface,0.445117054932413,consensus_fill_under_family_cap
30,0,30,事故类型_UTYP_803-交叉口_-闯红灯直行与右方直行来车,road_env,0.4421102962323842,consensus_fill_under_family_cap
35,0,1,FEATURE_Age_Over60,age,0.6143670677940836,mandatory_semantic_age_over60_feature
35,0,2,VEH_意识到危险前的初始速度_V0,speed_v0,0.7750736266179915,mandatory_family_min:speed_v0
35,0,3,VEH_碰撞速度_VK,speed_vk,0.8218226854894755,mandatory_family_min:speed_vk
35,0,4,体重估计_GEWPG,bio,0.6418710055214312,mandatory_family_min:bio
35,0,5,路灯_STRABEL_0-无路灯,light,0.487379206212252,mandatory_family_min:light
35,0,6,事故现场道路环境_STFUHO_4-环形交叉,road_env,0.6076669085985957,mandatory_family_min:road_env
35,0,7,公路分类_STRKL_1-公路以外的其他道路,road_type,0.5961653590941116,mandatory_family_min:road_type
35,0,8,路面附着系数_MUE,road_surface,0.4459223468507334,mandatory_family_min:road_surface
35,0,9,VEH_车高_HOEHE,vehicle_size,0.5391521426517112,mandatory_family_min:vehicle_size
35,0,10,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,safety,0.4765633244990816,mandatory_family_min:safety
35,0,11,VEH_车上第一碰撞点Y向坐标_BRPY,crash_type,0.6609911951369254,mandatory_family_min:crash_type
35,0,12,行驶车辆所在车道_FSTREIF_3-单向车道_单车道,lane,0.5623169852934953,mandatory_family_min:lane
35,0,13,风速_WINDS,weather,0.4146633592177164,mandatory_family_min:weather
35,0,14,VEH_车上第一碰撞点Z向坐标_BRPZ,crash_type,0.6546365535064175,consensus_fill_under_family_cap
35,0,15,性别_GESCHL_3-男性,bio,0.6212941518816664,consensus_fill_under_family_cap
35,0,16,VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,other,0.6131025309174577,consensus_fill_under_family_cap
35,0,17,VEH_车辆用途_VEHUSAGE_16-私用,vehicle_state,0.6129246925806578,consensus_fill_under_family_cap
35,0,18,身高估计_GROESPG,bio,0.5796450333700074,consensus_fill_under_family_cap
35,0,19,VEH_碰撞前的制动距离_WEGV,crash_type,0.5775599896600097,consensus_fill_under_family_cap
35,0,20,事故参与人数_ANZPERS_3-3,other,0.5717598732089225,consensus_fill_under_family_cap
35,0,21,VEH_车长_LAENGE,vehicle_size,0.5186367558239862,consensus_fill_under_family_cap
35,0,22,道路类型_STRART_15-公路_四级公路,road_type,0.5170169686511361,consensus_fill_under_family_cap
35,0,23,VEH_车宽_BREITE,vehicle_size,0.5150129421915445,consensus_fill_under_family_cap
35,0,24,VEH_碰撞时的总重_GEWGES,vehicle_mass,0.5142512490530984,consensus_fill_under_family_cap
35,0,25,不同行驶方向车道的隔离方法_MARK_11-防撞栏,lane,0.5088851519506987,consensus_fill_under_family_cap
35,0,26,VEH_车道变更警告_SPURWAW1_2-无,lane,0.4899203584062133,consensus_fill_under_family_cap
35,0,27,事故路段车流量_VSTUFE_3-较多车辆,road_env,0.4604111302847283,consensus_fill_under_family_cap
35,0,28,FEATURE_Is_Night,light,0.4574580097785447,consensus_fill_under_family_cap
35,0,29,路面情况_STROB_3-干,road_surface,0.445117054932413,consensus_fill_under_family_cap
35,0,30,事故类型_UTYP_803-交叉口_-闯红灯直行与右方直行来车,road_env,0.4421102962323842,consensus_fill_under_family_cap
35,0,31,FEATURE_Opp_Powertrain_燃油,vehicle_state,0.4253242737992523,consensus_fill_under_family_cap
35,0,32,ARU事故原因1_URSWIS1_14-没有保持安全距离,safety,0.3907218866839229,consensus_fill_under_family_cap
35,0,33,年龄月数记录_ALTER2_24-24,age,0.3450345125107852,consensus_fill_under_family_cap
35,0,34,VEH_电池托盘材质_TRAYMAT_1-工程塑料,engineering,0.319722461892436,consensus_fill_under_family_cap
35,0,35,VEH_发动机功率_LSTG,other,0.5671691516872875,consensus_fill_relaxed_cap
