Selected_N,Is_Primary_Analysis,Family_Coverage_N,Covered_Families,Missing_Mandatory_Families,Max_Family_Count,Redundancy_Index,Candidate_Item_N,Candidate_2Item_N,Candidate_3Item_N,Frequent_Itemset_N,Train_Rule_Candidate_N,Final_Train_Rule_N,Replayable_Rule_N,Test_Hit_N_Median,Test_Hit_N_Min,Test_RR_Median,q_lt_0_05_N,Confirmed_or_BinaryStable_Criterion_N_if_evaluated,Deprecated_CoreLike_N_if_evaluated,Criterion_Note,Rule_Axis_Coverage_N,Dominant_Axis,Axis_Herfindahl_Index,Logistic_AUROC,Logistic_AUPRC,RandomForest_AUROC,RandomForest_AUPRC,XGBoost_AUROC,XGBoost_AUPRC,Test_Used_For_Size_Selection,Evaluation_Only,Rule_Mining_Status,Interpretation_Complexity
15,0,13,age|bio|crash_type|lane|light|road_env|road_surface|road_type|safety|speed_v0|speed_vk|vehicle_size|weather,,2,0.07755697757757542,15,105,455,,116,12,12,70.0,48.0,1.200319909186557,8,8,8,screening-style count based on q/RR/hit only; not identical to strict core-confirmed evidence tier,7,vulnerability_demographic_speed,0.1527777777777778,0.6561622096888335,0.7881273398729964,0.6720636486457507,0.7952205662302847,0.6765134781583066,0.8021265044800755,False,True,ok,sensitivity_comparator_only
20,0,15,age|bio|crash_type|lane|light|other|road_env|road_surface|road_type|safety|speed_v0|speed_vk|vehicle_size|vehicle_state|weather,,3,0.09011015819060536,20,190,1140,,177,14,14,74.0,48.0,1.1787346220864627,8,8,8,screening-style count based on q/RR/hit only; not identical to strict core-confirmed evidence tier,8,vulnerability_demographic_speed,0.13265306122448978,0.6795801076537068,0.8009929760277912,0.6827968518796509,0.7992712387124348,0.699829512556025,0.8152724949056147,False,True,ok,sensitivity_comparator_only
25,1,16,age|bio|crash_type|lane|light|other|road_env|road_surface|road_type|safety|speed_v0|speed_vk|vehicle_mass|vehicle_size|vehicle_state|weather,,3,0.07733127399204015,25,300,2300,,431,15,15,86.0,48.0,1.1693486167750469,8,8,8,screening-style count based on q/RR/hit only; not identical to strict core-confirmed evidence tier,9,vulnerability_demographic_speed,0.12,0.6767011215714868,0.7996760761116188,0.6855042782698205,0.8024082908422573,0.6939053419399113,0.8092111235981947,False,True,ok,primary_balance_point
30,0,16,age|bio|crash_type|lane|light|other|road_env|road_surface|road_type|safety|speed_v0|speed_vk|vehicle_mass|vehicle_size|vehicle_state|weather,,3,0.07617490577838638,30,435,4060,,888,15,15,104.0,54.0,1.1693486167750469,10,10,10,screening-style count based on q/RR/hit only; not identical to strict core-confirmed evidence tier,10,vulnerability_demographic_speed,0.1111111111111111,0.6743957882095601,0.7899720279175051,0.6805290472003603,0.7962881981938763,0.6926937016148056,0.8042760048215816,False,True,ok,sensitivity_comparator_only
35,0,17,age|bio|crash_type|engineering|lane|light|other|road_env|road_surface|road_type|safety|speed_v0|speed_vk|vehicle_mass|vehicle_size|vehicle_state|weather,,3,0.06953516212363539,35,595,6545,,1364,15,15,115.0,82.0,1.1621415374728892,11,11,11,screening-style count based on q/RR/hit only; not identical to strict core-confirmed evidence tier,10,road_speed_environment,0.12000000000000002,0.6753822564388497,0.7916116511753324,0.6682625292187601,0.7880051037846945,0.6957388861486994,0.8102437024691493,False,True,ok,higher_rule_complexity_or_axis_concentration
