Candidate_Feature,Family,Missing_Category_Type,Semantic_Group,Source_Group,ConsensusRank,ConsensusScore,Selected,Excluded_As_Redundant,Excluded_As_Raw_Age_Column,Excluded_As_Pure_Missing_Unknown,Replaced_By,Reason
VEH_车辆用途_VEHUSAGE_16-私用,vehicle_state,not_missing_category,other_unique:VEHUSAGE,VEHUSAGE,12,0.6129246925806578,1,0,0,0,,consensus_fill_under_family_cap
事故现场道路环境_STFUHO_4-环形交叉,road_env,not_missing_category,road_environment_type,STFUHO,13,0.6076669085985957,1,0,0,0,,mandatory_family_min:road_env
行驶车辆所在车道_FSTREIF_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,行驶车辆所在车道_FSTREIF_MISSING_OR,14,0.5974099798677021,0,0,0,1,,pure_missing_unknown_excluded_from_primary
公路分类_STRKL_1-公路以外的其他道路,road_type,not_missing_category,other_unique:STRKL,STRKL,15,0.5961653590941116,1,0,0,0,,mandatory_family_min:road_type
VEH_车上第一碰撞点X向坐标_BRPX,crash_type,not_missing_category,crash_contact_geometry,BRPX,16,0.5957204348388339,0,1,0,0,VEH_车上第一碰撞点Y向坐标_BRPY||VEH_车上第一碰撞点Z向坐标_BRPZ,semantic_group_cap
身高估计_GROESPG,bio,not_missing_category,height_body_size,GROESPG,17,0.5796450333700074,1,0,0,0,,consensus_fill_under_family_cap
VEH_碰撞前的制动距离_WEGV,crash_type,not_missing_category,other_unique:VEH_碰撞前的制动距离,VEH_碰撞前的制动距离,18,0.5775599896600097,1,0,0,0,,consensus_fill_under_family_cap
事故参与人数_ANZPERS_3-3,other,not_missing_category,other_unique:事故参与人数_ANZPERS,事故参与人数_ANZPERS,19,0.5717598732089225,1,0,0,0,,consensus_fill_under_family_cap
VEH_发动机功率_LSTG,other,not_missing_category,other_unique:VEH_发动机功率,VEH_发动机功率,20,0.5671691516872875,0,0,0,0,,
行驶车辆所在车道_FSTREIF_3-单向车道_单车道,lane,not_missing_category,other_unique:行驶车辆所在车道_FSTREIF_3-单向车道,行驶车辆所在车道_FSTREIF_3-单向车道,21,0.5623169852934953,1,0,0,0,,mandatory_family_min:lane
涉及人员数_BETAUSVU,other,not_missing_category,other_unique:涉及人员数_BETAUSVU,涉及人员数_BETAUSVU,22,0.5616789374037563,0,0,0,0,,
VEH_碰撞前的滑移偏离_SCHLEU_2-没有偏离,crash_type,not_missing_category,other_unique:VEH_碰撞前的滑移偏离_SCHLEU,VEH_碰撞前的滑移偏离_SCHLEU,23,0.561394051059676,0,0,0,0,,
