Triplet_Rule_ID,Antecedent_Items,Antecedent_Display_CN,Antecedent_Display_EN,Mechanism_Axis,Evidence_Tier,Physical_Evidence_Tier,Test_Hit_N,Test_Confidence,Risk_Ratio_vs_BaseRate,q_value_BH,Bootstrap_Recurrence,Has_Continuous_Threshold,Test_Lift_Min,Test_Hit_N_Min,Fixed_Test_Hit_OK,Threshold_Hit_OK,Threshold_Lift_OK,Threshold_Stable_Flag,Governance_Scene,Governance_Use,Governance_Interpretation_Template,Interpretation_Boundary,Physical_Mechanism_Valid_Flag,Main_Text_Eligible_Triplet_Flag,Manuscript_Eligible_Triplet_Flag
T07,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,年龄 > 60岁 + 碰撞速度 > 50 km/h + 男性,Age > 60 years + Impact speed > 50 km/h + Male,vulnerability_speed,core-confirmed,core-confirmed,41,0.926829268292683,1.4122066813085192,0.0011277934727490781,1.0,1,1.4122066813085192,25.0,1,1,1,1,VRU vulnerability-sensitive speed and crossing protection,priority_governance_target,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",1,1,1
T06,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5,年龄 > 60岁 + 碰撞速度 > 50 km/h + VEH_碰撞前的制动距离_WEGV___GT_0_5,Age > 60 years + Impact speed > 50 km/h + VEH_碰撞前的制动距离_WEGV___GT_0_5,vulnerability_speed,core-confirmed,core-confirmed,24,0.9166666666666666,1.3967219589257502,0.012358145134056697,1.0,1,1.358972716792622,16.0,1,1,1,1,VRU vulnerability-sensitive speed and crossing protection,priority_governance_target,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",1,1,1
T05,VEH_碰撞速度_VK___GT_50_0||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,碰撞速度 > 50 km/h + 路灯_STRABEL_0-无路灯 + 男性,Impact speed > 50 km/h + 路灯_STRABEL_0-无路灯 + Male,vulnerability_demographic_speed,core-confirmed,core-confirmed,33,0.8787878787878788,1.3390061754990663,0.012358145134056697,1.0,1,1.3378800138712286,24.0,1,1,1,1,demographic speed-risk stratification,priority_governance_target,个体脆弱性—人口学/速度分层轴线，适合作为速度暴露下的人群分层风险线索，不应解释为体格机制。,Demographic speed-risk stratification signal; do not interpret sex or age strata as body-size mechanisms.,1,1,1
T01,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0,年龄 > 60岁 + 初始速度 > 50 km/h + 碰撞速度 > 50 km/h,Age > 60 years + Initial speed > 50 km/h + Impact speed > 50 km/h,speed_energy,core-confirmed,core-confirmed,41,0.8780487804878049,1.3378800138712286,0.009969442380221941,1.0,1,1.2892818082391542,22.0,1,1,1,1,speed enforcement and conflict-speed management,priority_governance_target,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",1,1,1
T19,FEATURE_Age_Over60||性别_GESCHL_3-男性||VEH_碰撞前的制动距离_WEGV___GT_0_5,年龄 > 60岁 + 男性 + VEH_碰撞前的制动距离_WEGV___GT_0_5,Age > 60 years + Male + VEH_碰撞前的制动距离_WEGV___GT_0_5,vulnerability_demographic,core-confirmed,core-confirmed,57,0.8421052631578947,1.2831129957595409,0.009969442380221941,1.0,1,1.2788168584969533,56.0,1,1,1,1,individual demographic risk stratification,priority_governance_target,个体脆弱性—人口学分层轴线，适合作为年龄/性别等人群分层下的风险识别线索，不应解释为体格或可直接干预因素。,Individual vulnerability–demographic stratification axis; use as a demographic risk-stratification cue rather than a directly intervenable body-size mechanism.,1,1,1
T17,FEATURE_Age_Over60||性别_GESCHL_3-男性||VEH_碰撞时的总重_GEWGES___GT_1497_5,年龄 > 60岁 + 男性 + 车辆总重 > 1497.5,Age > 60 years + Male + Vehicle total weight > 1497.5,vulnerability_demographic,core-confirmed,core-confirmed,52,0.8076923076923077,1.2306780896828289,0.03216071607107158,1.0,1,1.1173775671406,15.0,1,1,1,1,individual demographic risk stratification,priority_governance_target,个体脆弱性—人口学分层轴线，适合作为年龄/性别等人群分层下的风险识别线索，不应解释为体格或可直接干预因素。,Individual vulnerability–demographic stratification axis; use as a demographic risk-stratification cue rather than a directly intervenable body-size mechanism.,1,1,1
