Feature,Raw_Feature,Family,Split,Raw_Sentinel_N,Raw_Sentinel_Rate,Converted_To_NaN_N,Missing_After_Sentinel_N
VEH_车辆总质量_ZULGEW,VEH_车辆总质量(ZULGEW),other,Train,0,0.0,0,390
VEH_车辆总质量_ZULGEW,VEH_车辆总质量(ZULGEW),other,Test,0,0.0,0,106
VEH_碰撞时的总重_GEWGES,VEH_碰撞时的总重(GEWGES),vehicle_mass,Train,0,0.0,0,200
VEH_碰撞时的总重_GEWGES,VEH_碰撞时的总重(GEWGES),vehicle_mass,Test,0,0.0,0,54
VEH_里程数_KMST,VEH_里程数(KMST),other,Train,0,0.0,0,390
VEH_里程数_KMST,VEH_里程数(KMST),other,Test,0,0.0,0,106
VEH_车辆的重心高度_VEHCGHT,VEH_车辆的重心高度(VEHCGHT),other,Train,0,0.0,0,2308
VEH_车辆的重心高度_VEHCGHT,VEH_车辆的重心高度(VEHCGHT),other,Test,0,0.0,0,570
VEH_准乘人数_DESNUMB,VEH_准乘人数(DESNUMB),other,Train,0,0.0,0,390
VEH_准乘人数_DESNUMB,VEH_准乘人数(DESNUMB),other,Test,0,0.0,0,106
VEH_CLTC续航里程_MILEAGE2,VEH_CLTC续航里程(MILEAGE2),other,Train,0,0.0,0,2534
VEH_CLTC续航里程_MILEAGE2,VEH_CLTC续航里程(MILEAGE2),other,Test,0,0.0,0,631
VEH_WLTC续航里程_MILEAGE3,VEH_WLTC续航里程(MILEAGE3),other,Train,0,0.0,0,2534
VEH_WLTC续航里程_MILEAGE3,VEH_WLTC续航里程(MILEAGE3),other,Test,0,0.0,0,631
VEH_驶离道路的角度_ABWINK,VEH_驶离道路的角度(ABWINK),other,Train,0,0.0,0,2308
VEH_驶离道路的角度_ABWINK,VEH_驶离道路的角度(ABWINK),other,Test,0,0.0,0,570
VEH_碰撞前平均制动减速度_BV,VEH_碰撞前平均制动减速度(BV),crash_type,Train,0,0.0,0,2
VEH_碰撞前平均制动减速度_BV,VEH_碰撞前平均制动减速度(BV),crash_type,Test,0,0.0,0,2
VEH_碰撞前的制动距离_WEGV,VEH_碰撞前的制动距离(WEGV),crash_type,Train,0,0.0,0,39
VEH_碰撞前的制动距离_WEGV,VEH_碰撞前的制动距离(WEGV),crash_type,Test,0,0.0,0,14
VEH_柱状物直径_MDURCH,VEH_柱状物直径(MDURCH),other,Train,0,0.0,0,2133
VEH_柱状物直径_MDURCH,VEH_柱状物直径(MDURCH),other,Test,0,0.0,0,520
VEH_边坡坡度_RAMPSLOP,VEH_边坡坡度(RAMPSLOP),other,Train,0,0.0,0,2308
VEH_边坡坡度_RAMPSLOP,VEH_边坡坡度(RAMPSLOP),other,Test,0,0.0,0,570
VEH_边坡横向宽度_RPWIDTH,VEH_边坡横向宽度(RPWIDTH),other,Train,0,0.0,0,2308
VEH_边坡横向宽度_RPWIDTH,VEH_边坡横向宽度(RPWIDTH),other,Test,0,0.0,0,570
VEH_护栏单元长度_SPLANKEL,VEH_护栏单元长度(SPLANKEL),other,Train,0,0.0,0,2308
VEH_护栏单元长度_SPLANKEL,VEH_护栏单元长度(SPLANKEL),other,Test,0,0.0,0,570
VEH_护栏顶端离地高_SPLANKEH,VEH_护栏顶端离地高(SPLANKEH),other,Train,0,0.0,0,2308
VEH_护栏顶端离地高_SPLANKEH,VEH_护栏顶端离地高(SPLANKEH),other,Test,0,0.0,0,570
VEH_车上第一碰撞点X向坐标_BRPX,VEH_车上第一碰撞点X向坐标(BRPX),crash_type,Train,0,0.0,0,390
VEH_车上第一碰撞点X向坐标_BRPX,VEH_车上第一碰撞点X向坐标(BRPX),crash_type,Test,0,0.0,0,106
VEH_车上第一碰撞点Y向坐标_BRPY,VEH_车上第一碰撞点Y向坐标(BRPY),crash_type,Train,0,0.0,0,390
VEH_车上第一碰撞点Y向坐标_BRPY,VEH_车上第一碰撞点Y向坐标(BRPY),crash_type,Test,0,0.0,0,106
VEH_车上第一碰撞点Z向坐标_BRPZ,VEH_车上第一碰撞点Z向坐标(BRPZ),crash_type,Train,0,0.0,0,390
VEH_车上第一碰撞点Z向坐标_BRPZ,VEH_车上第一碰撞点Z向坐标(BRPZ),crash_type,Test,0,0.0,0,106
VEH_接触重合度_OVERPER,VEH_接触重合度(OVERPER),other,Train,0,0.0,0,5
VEH_接触重合度_OVERPER,VEH_接触重合度(OVERPER),other,Test,0,0.0,0,0
FEATURE_Hour,FEATURE_Hour,other,Train,0,0.0,0,0
FEATURE_Hour,FEATURE_Hour,other,Test,0,0.0,0,0
